Maximum CPU Burst: 1200
Minimum CPU Burst: 2
Average Interarrival Time: 7
Index Arrival time  CPU Burst Length   Priority
   1           7                 591     4
   2          17                 902     3
   3          19                 106     9
   4          28                 247     3
   5          34                 529     5
   6          46                 758     5
   7          59                 681     4
   8          64                 669     2
   9          71                 349     7
  10          72                 439     6
  11          73                 858     5
  12          75                 128     6
  13          76                 175     9
  14          82                  91     2
  15          84                 468     7
  16          91                 802     3
  17          94                1061     5
  18          98                 274     2
  19         110                  47     1
  20         112                 634     1
  21         121                 253     2
  22         125                 256     8
  23         126                 735     6
  24         134                 412     2
  25         140                 170     7
  26         145                 218     7
  27         146                 146     4
  28         147                1198     7
  29         151                 949     5
  30         156                 462     7
  31         158                 406     6
  32         159                 355     2
  33         165                 448     1
  34         167                 382     7
  35         194                1071     4
  36         196                1062     7
  37         197                 620     1
  38         210                 423     6
  39         220                 654     2
  40         221                1005     1
  41         230                1157     4
  42         231                 514     7
  43         231                 823     8
  44         239                 976     7
  45         243                 668     3
  46         244                 465     2
  47         250                 275     6
  48         263                 276     3
  49         269                 679     6
  50         294                 644     2
  51         298                 228     4
  52         327                 124     2
  53         332                  29     6
  54         335                1112     3
  55         336                 416     7
  56         348                1083     4
  57         353                 863     9
  58         374                 579     7
  59         386                 562     9
  60         396                   6     6
  61         399                  49     4
  62         403                 872     3
  63         406                 390     7
  64         408                1186     4
  65         414                1092     6
  66         418                 646     8
  67         425                 727     1
  68         426                 285     6
  69         427                 786     2
  70         435                 972     6
  71         454                1125     8
  72         456                 501     9
  73         462                 139     7
  74         472                  20     5
  75         480                 440     5
  76         483                 175     7
  77         502                 367     7
  78         521                 858     8
  79         523                 841     6
  80         524                 304     1
  81         532                 718     3
  82         532                 782     8
  83         539                 928     3
  84         544                 616     4
  85         565                1145     2
  86         576                 452     9
  87         579                 947     2
  88         580                 238     3
  89         593                  97     6
  90         611                  30     8
  91         620                  77     2
  92         632                 492     6
  93         639                 887     1
  94         639                 519     6
  95         642                 399     3
  96         649                  45     4
  97         654                 472     3
  98         659                  65     8
  99         673                 220     4
 100         679                 707     9
 101         686                 515     6
 102         696                1134     5
 103         702                1169     2
 104         703                1197     1
 105         704                 934     3
 106         708                 848     7
 107         711                 534     8
 108         711                 454     1
 109         715                 732     2
 110         729                 271     2
 111         734                 347     4
 112         736                 175     5
 113         741                 238     3
 114         742                 899     2
 115         744                 158     5
 116         747                 539     9
 117         749                 335     2
 118         750                  96     5
 119         754                1167     7
 120         754                 284     9
 121         767                1152     2
 122         775                 534     4
 123         806                 279     1
 124         809                  40     3
 125         809                 990     5
 126         822                 489     8
 127         840                  78     2
 128         843                 402     9
 129         846                 939     4
 130         858                  64     6
 131         861                 507     2
 132         866                 446     2
 133         876                 218     6
 134         911                 570     3
 135         920                 303     8
 136         923                 362     4
 137         928                 644     4
 138         941                 676     8
 139         943                 950     9
 140         944                1150     1
 141         954                 567     4
 142         962                1078     4
 143         967                 671     8
 144         975                 905     5
 145         989                 557     5
 146         994                 678     4
 147         998                 297     1
 148        1014                 446     8
 149        1017                 181     6
 150        1023                  93     4
 151        1026                 207     2
 152        1036                 513     5
 153        1068                 359     6
 154        1080                 734     4
 155        1081                 681     3
 156        1086                 174     3
 157        1092                 285     3
 158        1098                 545     5
 159        1098                 614     3
 160        1099                 815     4
 161        1102                 392     4
 162        1110                 766     2
 163        1110                 200     1
 164        1110                 713     4
 165        1114                 130     6
 166        1115                 359     5
 167        1119                  60     8
 168        1120                 730     3
 169        1124                 777     5
 170        1130                 520     9
 171        1148                 482     1
 172        1163                 956     8
 173        1171                1161     8
 174        1173                 721     5
 175        1179                1124     8
 176        1185                 482     6
 177        1186                 805     8
 178        1189                 951     6
 179        1194                1094     1
 180        1211                 390     3
 181        1211                 166     9
 182        1219                 482     7
 183        1230                 441     4
 184        1232                 640     3
 185        1242                1183     4
 186        1244                 927     8
 187        1246                 163     9
 188        1249                 307     1
 189        1250                1090     8
 190        1250                 160     2
 191        1252                1043     2
 192        1252                1172     9
 193        1258                1037     2
 194        1268                 310     8
 195        1271                 739     6
 196        1273                 894     3
 197        1279                1193     1
 198        1285                 646     8
 199        1291                 977     5
 200        1294                 712     7
 201        1306                 106     9
 202        1315                 997     1
 203        1321                 990     1
 204        1322                 310     8
 205        1324                 119     1
 206        1340                 665     9
 207        1347                 992     8
 208        1355                1055     8
 209        1367                 631     5
 210        1370                1018     6
 211        1386                 366     7
 212        1415                  66     3
 213        1426                 491     5
 214        1428                 850     7
 215        1429                 637     2
 216        1445                 743     1
 217        1487                1087     5
 218        1489                 478     3
 219        1490                1175     3
 220        1491                1169     1
 221        1499                 390     9
 222        1508                 305     6
 223        1511                  79     3
 224        1514                 824     1
 225        1517                 676     5
 226        1522                  84     7
 227        1526                 445     7
 228        1526                 712     6
 229        1527                 783     7
 230        1527                 856     6
 231        1531                 737     3
 232        1531                 922     2
 233        1542                 334     1
 234        1552                 990     7
 235        1555                 570     9
 236        1556                 760     7
 237        1568                 622     9
 238        1573                1040     3
 239        1580                 281     6
 240        1581                 297     9
 241        1584                 171     8
 242        1606                  90     3
 243        1608                 826     2
 244        1609                 297     9
 245        1609                 119     4
 246        1610                1199     9
 247        1620                 886     7
 248        1622                 119     9
 249        1623                 702     6
 250        1630                 196     2
 251        1638                 435     3
 252        1640                 579     4
 253        1643                 773     6
 254        1658                 983     5
 255        1666                  36     8
 256        1674                  51     6
 257        1683                 290     9
 258        1686                 729     8
 259        1708                 706     3
 260        1708                1090     9
 261        1708                 570     8
 262        1711                 343     2
 263        1739                 618     2
 264        1741                 918     7
 265        1756                  76     3
 266        1756                 938     7
 267        1756                 328     1
 268        1765                 355     8
 269        1772                 796     7
 270        1777                  26     3
 271        1795                 710     3
 272        1795                 100     7
 273        1825                 369     5
 274        1825                 677     6
 275        1833                 733     5
 276        1835                 928     7
 277        1850                 798     4
 278        1855                 360     3
 279        1861                 185     2
 280        1865                 691     3
 281        1874                  75     5
 282        1895                 470     1
 283        1902                 956     7
 284        1905                 765     3
 285        1906                   6     6
 286        1913                  89     8
 287        1924                 243     4
 288        1928                  66     2
 289        1933                 737     3
 290        1939                1021     3
 291        1942                 679     7
 292        1952                 521     8
 293        1957                 653     8
 294        1961                1046     5
 295        1982                 610     7
 296        1989                1122     9
 297        2002                 510     9
