Maximum CPU Burst: 12
Minimum CPU Burst: 4
Average Interarrival Time: 2
Index Arrival time  CPU Burst Length   Priority
   1           2                   7     4
   2           5                  10     3
   3           6                   4     9
   4           8                   5     3
   5          10                   7     5
   6          14                   9     5
   7          18                   8     4
   8          20                   8     2
   9          22                   6     7
  10          22                   6     6
  11          22                   9     5
  12          23                   4     6
  13          23                   5     9
  14          25                   4     2
  15          25                   7     7
  16          27                   9     3
  17          28                  11     5
  18          29                   5     2
  19          32                   4     1
  20          32                   8     1
  21          35                   5     2
  22          36                   5     8
  23          36                   8     6
  24          38                   6     2
  25          40                   5     7
  26          42                   5     7
  27          42                   4     4
  28          42                  11     7
  29          43                  10     5
  30          45                   7     7
  31          45                   6     6
  32          45                   6     2
  33          47                   6     1
  34          47                   6     7
  35          55                  11     4
  36          56                  11     7
  37          56                   8     1
  38          60                   6     6
  39          63                   8     2
  40          63                  10     1
  41          66                  11     4
  42          66                   7     7
  43          66                   9     8
  44          68                  10     7
  45          69                   8     3
  46          69                   7     2
  47          71                   5     6
  48          75                   5     3
  49          77                   8     6
  50          84                   8     2
  51          85                   5     4
  52          93                   4     2
  53          95                   4     6
  54          96                  11     3
  55          96                   6     7
  56         100                  11     4
  57         101                   9     9
  58         107                   7     7
  59         110                   7     9
  60         113                   4     6
  61         114                   4     4
  62         115                   9     3
  63         116                   6     7
  64         117                  11     4
  65         119                  11     6
  66         120                   8     8
  67         122                   8     1
  68         122                   5     6
  69         122                   9     2
  70         124                  10     6
  71         129                  11     8
  72         130                   7     9
  73         132                   4     7
  74         135                   4     5
  75         137                   6     5
  76         138                   5     7
  77         143                   6     7
  78         148                   9     8
  79         148                   9     6
  80         148                   6     1
  81         150                   8     3
  82         150                   9     8
  83         152                  10     3
  84         153                   8     4
  85         159                  11     2
  86         162                   7     9
  87         163                  10     2
  88         163                   5     3
  89         167                   4     6
  90         172                   4     8
  91         175                   4     2
  92         178                   7     6
  93         180                   9     1
  94         180                   7     6
  95         181                   6     3
  96         183                   4     4
  97         184                   7     3
  98         185                   4     8
  99         189                   5     4
 100         191                   8     9
 101         193                   7     6
 102         196                  11     5
 103         198                  11     2
 104         198                  11     1
 105         198                  10     3
 106         199                   9     7
 107         200                   7     8
 108         200                   7     1
 109         201                   8     2
 110         205                   5     2
 111         206                   6     4
 112         207                   5     5
 113         208                   5     3
 114         208                   9     2
 115         208                   5     5
 116         209                   7     9
 117         209                   6     2
 118         209                   4     5
 119         210                  11     7
 120         210                   5     9
 121         214                  11     2
 122         216                   7     4
 123         225                   5     1
 124         226                   4     3
 125         226                  10     5
 126         230                   7     8
 127         235                   4     2
 128         236                   6     9
 129         237                  10     4
 130         240                   4     6
 131         241                   7     2
 132         242                   6     2
 133         245                   5     6
 134         255                   7     3
 135         258                   6     8
 136         259                   6     4
 137         260                   8     4
 138         264                   8     8
 139         264                  10     9
 140         264                  11     1
 141         267                   7     4
 142         269                  11     4
 143         270                   8     8
 144         272                  10     5
 145         276                   7     5
 146         277                   8     4
 147         278                   5     1
 148         283                   6     8
 149         284                   5     6
 150         286                   4     4
 151         287                   5     2
 152         290                   7     5
 153         299                   6     6
 154         302                   8     4
 155         302                   8     3
 156         304                   5     3
 157         306                   5     3
 158         308                   7     5
 159         308                   8     3
 160         308                   9     4
 161         309                   6     4
 162         311                   9     2
 163         311                   5     1
 164         311                   8     4
 165         312                   4     6
 166         312                   6     5
 167         313                   4     8
 168         313                   8     3
 169         314                   9     5
 170         316                   7     9
 171         321                   7     1
 172         325                  10     8
 173         327                  11     8
 174         328                   8     5
 175         330                  11     8
 176         332                   7     6
 177         332                   9     8
 178         333                  10     6
 179         334                  11     1
 180         339                   6     3
 181         339                   5     9
 182         341                   7     7
 183         344                   6     4
 184         345                   8     3
 185         348                  11     4
 186         349                  10     8
 187         350                   5     9
 188         351                   6     1
 189         351                  11     8
 190         351                   5     2
 191         352                  10     2
 192         352                  11     9
 193         354                  10     2
 194         357                   6     8
 195         358                   8     6
 196         359                   9     3
 197         361                  11     1
 198         363                   8     8
 199         365                  10     5
 200         366                   8     7
 201         370                   4     9
 202         373                  10     1
 203         375                  10     1
 204         375                   6     8
 205         376                   4     1
 206         380                   8     9
 207         382                  10     8
 208         384                  11     8
 209         387                   8     5
 210         388                  10     6
 211         393                   6     7
 212         401                   4     3
 213         404                   7     5
 214         405                   9     7
 215         405                   8     2
 216         410                   8     1
 217         422                  11     5
 218         423                   7     3
 219         423                  11     3
 220         423                  11     1
 221         425                   6     9
 222         428                   6     6
 223         429                   4     3
 224         430                   9     1
 225         431                   8     5
 226         433                   4     7
 227         434                   6     7
 228         434                   8     6
 229         434                   9     7
 230         434                   9     6
 231         435                   8     3
 232         435                  10     2
 233         438                   6     1
